tree_n,parent_key,key,label,filtered_label,flags
1,,inferno,Inferno,inferno,
1,inferno,inferno.selva,inferno: selva,inferno selva,
1,inferno,inferno.porta,inferno: porta dell'inferno - ignavi,porta dell'inferno ignavi,
1,inferno,inferno.acheronte,inferno: Acheronte,acheronte,
1,inferno,inferno.limbo,inferno: I cerchio - Limbo,i cerchio limbo,
2,,dante-embraces-casella,Dante abbraccia Casella,dante abbraccia casella,
2,,dante-speaks-to-virgil,Dante parla a Virgilio,dante parla a virgilio,
2,,kerberos-skins-damned-soul,Cerbero scuoia un dannato,cerboero scuoia un dannato,
2,,dante-looks-at-sun,Dante guarda il sole,dante guarda il sole,
2,,lucifer-torments-iudas-brutus-cassius,Lucifero tormenta Giuda Bruto e Cassio,lucifero tormenta giuda bruto e cassio,
3,,rock,roccia,roccia,
3,,sail,vela,vela,
3,,hill,colle,colle,
3,,she-wolf,lupa,lupa,
3,,sun,sole,sole,
